2005-12-25,Matt 22:23-33,Deut 05:1-11,sermon_Matt22v23-33_keele.mp3,sermon_Deut5v1-21_keele.mp3,,
2006-01-01,Matt 22:34-40,Deut 05:1-21,sermon_Matt22v34-40_keele.mp3,sermon_Deut5v1-11_keele.mp3,,
2006-01-08,Matt 22:41-46,Deut 05:6-17,sermon_Matt22v41-46_keele.mp3,sermon_Deut5v6-18_keele.mp3,,
2006-01-15,Matt 23:1-12,Deut 05:6-18,sermon_Matt23v1-12_keele.mp3,sermon_Deut5v6-20_keele.mp3,,
2006-01-22,Matt 23:13-33,Deut 05:6-19,sermon_Matt23v13-33_keele.mp3,sermon_Deut5v6-17_keele.mp3,,
2006-01-29,Matt 23:29-39,Deut 05:6-20,sermon_Matt23v29-39_keele.mp3,sermon_Deut5v6-19_keele.mp3,,
2006-02-05,Matt 24:1-31,Deut 08,sermon_Matt24v1-31_keele.mp3,sermon_Deut8_keele.mp3,,
2006-02-12,Matt 24:32-51,Deut 15,sermon_Matt24v32-51_keele.mp3,sermon_Deut15_keele.mp3,,
2006-02-19,Matt 25:1-13,Deut 16:1-17,sermon_Matt25v1-13_keele.mp3,sermon_Deut16v1-17_keele.mp3,,
2006-02-26,Matt 25:31-46,Deut 16:18-17:13,sermon_Matt25v31-46_keele_0.mp3,sermon_Deut16v18-17v13_keele.mp3,,
2006-03-05,Matt 26:1-16,Deut 17:14-20,sermon_Matt26v1-16_keele.mp3,sermon_Deut17v14-20_keele.mp3,,
2006-03-12,Matt 26:17-30,Deut 20,sermon_Matt26v17-30_keele.mp3,sermon_Deut20_keele.mp3,,
2006-03-19,Matt 26:30-35,Deut 22,sermon_Matt26v30-35_keele.mp3,sermon_Deut22_keele.mp3,,
2006-03-26,Matt 26:36-46,Deut 23,sermon_Matt26v36-46_keele.mp3,sermon_Deut23_keele.mp3,,
2006-04-02,Matt 26:47-56,Deut 25,sermon_Matt26v47-56_keele.mp3,sermon_Deut25_keele.mp3,,
2006-04-09,Matt 26:57-68,Deut 26,sermon_Matt26v57-75_keele.mp3,sermon_Deut26_keele.mp3,,
2006-04-16,Matt 26:57-75,Deut 28:1-14,sermon_Matt26v57-68_keele.mp3,sermon_Deut28v1-14_keele.mp3,,
2006-04-23,Matt 27:1-10,Deut 28:15-29:1,sermon_Matt27v1-10_keele.mp3,sermon_Deut28v15-29v1_keele.mp3,,
2006-04-30,Matt 27:11-26,Deut 29:2-29,sermon_Matt27v11-26_keele.mp3,sermon_Deut29v2-29_keele.mp3,,
2006-05-07,Matt 27:27-31,Deut 30:1-10,sermon_Matt27v27-31_keele.mp3,sermon_Deut30v1-10_keele.mp3,,
2006-05-14,Matt 27:32-38,Deut 30:11-20,sermon_Matt27v32-38_keele.mp3,sermon_Deut30v11-20_keele.mp3,,
2006-05-21,Matt 27:45-50,Deut 31:1-29,sermon_Matt27v45-56_keele.mp3,sermon_Deut31v1-29_keele.mp3,,
2006-05-28,Matt 27:45-56,Deut 31:19-32:14,sermon_Matt27v45-50_keele.mp3,sermon_Deut31v19-32v14_keele.mp3,,
2006-06-04,Matt 27:57-66,Deut 32:1-25,sermon_Matt27v57-66_keele.mp3,sermon_Deut32v1-25_keele.mp3,,
2006-06-11,Matt 27:62-28:15,Deut 32:1-44,sermon_Matt27v62-28v15_keele.mp3,sermon_Deut32v1-44_keele.mp3,,
2006-06-18,Matt 28:1-10,Deut 33:1-11,sermon_Matt28v1-10_keele.mp3,sermon_Deut33v1-11_keele.mp3,,
2006-06-25,Matt 28:16-20,Deut 34,sermon_Matt28v16-20_keele.mp3,sermon_Deut34_keele.mp3,,
2006-07-02,1Thess 1:2-10,Hosea 1:1-2:1,sermon_1Thess1v2-10_keele.mp3,sermon_Hosea1v1-3_keele.mp3,,
2006-07-09,1Thess 2:1-12,Hosea 1:1-3,sermon_1Thess2v1-12_keele_pt2.mp3,sermon_Hosea1v1-2v1_keele.mp3,,
2006-07-16,1Thess 2:1-12,Hosea 2:14-23,sermon_1Thess2v1-12_keele_pt1.mp3,sermon_Hosea2v2-13_keele.mp3,,
2006-07-23,1Thess 2:17-20,Hosea 2:2-13,sermon_1Thess2v17-20_keele.mp3,sermon_Hosea2v14-23_keele.mp3,,
2006-07-30,1Thess 3:1-10,Hosea 3,sermon_1Thess3v1-10_keele.mp3,sermon_Hosea3_keele.mp3,,
2006-08-06,1Thess 3:1-5,Hosea 5,sermon_1Thess3v1-5_keele.mp3,sermon_Hosea5_keele.mp3,,
2006-08-13,1Thess 3:11-13,Hosea 5:8-6:6,sermon_1Thess3v11-13_keele.mp3,sermon_Hosea5v8-6v6_keele.mp3,,
2006-08-20,1Thess 4:1-8,Hosea 6:4-7:16,sermon_1Thess4v1-8_keele.mp3,sermon_Hosea6v4-7v16_keele.mp3,,
2006-08-27,1Thess 4:13-18,Hosea 8,sermon_1Thess4v9-12_keele.mp3,sermon_Hosea8_keele.mp3,,
2006-09-03,1Thess 4:9-12,Hosea 9,sermon_1Thess4v13-18_keele.mp3,sermon_Hosea9_keele.mp3,,
2006-09-10,1Thess 5:1-11,Hosea 10,sermon_1Thess5v1-11_keele.mp3,sermon_Hosea10_keele.mp3,,
2006-09-17,1Thess 5:1-5,Hosea 11,sermon_1Thess5v1-5_keele.mp3,sermon_Hosea11_keele.mp3,,
2006-09-24,1Thess 5:12-15,Hosea 12,sermon_1Thess5v12-15_keele.mp3,sermon_Hosea12_keele.mp3,,
2006-10-01,1Thess 5:12-24,Hosea 13,sermon_1Thess5v12-24_keele.mp3,sermon_Hosea13_keele.mp3,,
2006-10-08,1Thess 5:23-28,Hosea 14:1-9,sermon_1Thess5v23-28_keele.mp3,sermon_Hosea14v1-9_keele.mp3,,
2006-10-15,2Thess 1:1-5,,sermon_2Thess1v1-5_keele.mp3,,,
2006-10-22,2Thess 1:11-12,,sermon_2Thess1v3-10_keele.mp3,,,
2006-10-29,2Thess 1:3-10,,sermon_2Thess1v11-12_keele.mp3,,,
